# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=오렌지그런지숲
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#000000,Tile 0,,143868,143868,,10.0,,
#FF5500,Tile 2,,81888,81888,,10.0,,
#FFFFFF,Tile 1,,24244,24244,,10.0,,
TOTAL,,,250000,250000,,,,
