# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=소프트지브라
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#FFFFFF,Tile 1,,77154,77154,,10.0,,
#000000,Tile 0,,62846,62846,,10.0,,
TOTAL,,,140000,140000,,,,
