# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=사이버사이보그파편
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#FFFFFF,Tile 3,,80747,80747,,10.0,,
#000000,Tile 0,,64361,64361,,10.0,,
#AA0000,Tile 2,,28716,28716,,10.0,,
#0000FF,Tile 1,,14676,14676,,10.0,,
TOTAL,,,188500,188500,,,,
