# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=NotoSansSC
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#FFFFFF,,,3708,3708,,10.0,,팔레트 미등록
#000000,,,1392,1392,,10.0,,팔레트 미등록
TOTAL,,,5100,5100,,,,
