# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=연꽃그런지아트
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#FFFFFF,Tile 0,,120822,120822,,10.0,,
#000000,Tile 1,,64697,64697,,10.0,,
#AA0000,Tile 2,,41761,41761,,10.0,,
#00007F,Tile 3,,22720,22720,,10.0,,
TOTAL,,,250000,250000,,,,
