# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=TimesNewRoman
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#FFFFFF,,,6888,6888,,10.0,,팔레트 미등록
#000000,,,1629,1629,,10.0,,팔레트 미등록
TOTAL,,,8517,8517,,,,
