# pixelcraft_order_export_v2
# merge_similar_colors=false
# delta_e_threshold=3
# spare_percent=0
# project=오렌지스플래터웹
color_hex,slot_name,unit_weight_g,tile_count,order_count,total_weight_g,tile_size_mm,product_number,notes
#000000,Tile 0,,126417,126417,,10.0,,
#FF5500,Tile 1,,107396,107396,,10.0,,
#FFFFFF,Tile 2,,16187,16187,,10.0,,
TOTAL,,,250000,250000,,,,
